;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
70;160027905000002;3.47;664.74;354.03;650.06;364;231;0;109;95;95;46;69;54;31291710;1263;956;0;231;1263;671;592;345184;343984;1200;264;31;21;1;0
71;160027905000003;4.02;389.13;218.96;517.71;104;89;0;17;13;13;10;23;22;14946;418;376;0;52;418;203;215;66784;66784;0;69;5;0;0;0
72;160027905000004;3.56;770.18;472.2;794.15;121;101;5;30;30;30;18;19;16;15756;428;390;10;86;428;223;205;157242;156442;800;98;6;4;0;1
73;160027905000005;3.43;1078.79;521.56;1163.29;173;94;12;52;25;25;28;33;30;141233;579;347;25;181;579;327;252;212744;210244;2500;72;12;33;0;3
74;160027905000006;4.11;586.6;335.92;569.77;213;141;1;43;35;35;25;39;40;1824107;876;649;1;139;876;441;435;205745;205745;0;164;11;11;0;0
75;160027905000007;4.2;556.99;277.55;550.55;232;213;9;28;22;22;30;50;41;3617207;975;909;25;94;975;514;461;201503;201503;0;193;5;9;0;1
76;160027905000008;4.04;485.14;247.44;543.43;271;235;33;57;26;26;42;58;46;3431198;1094;991;93;190;1094;574;520;199440;199440;0;200;5;5;0;1
77;160027905000009;3.64;609.63;364.23;651.38;315;234;1;79;55;55;51;60;56;3730126;1148;947;2;196;1148;573;575;313964;313964;0;242;17;10;1;1
78;160027905000010;4.4;654.94;320.57;614.28;218;179;12;58;26;26;15;32;53;3623168;959;846;13;208;959;531;428;234234;234234;0;172;14;7;1;0
79;160027905000011;4.11;525.14;305.75;592.25;167;125;1;49;15;15;28;30;29;2716133;687;558;1;149;687;357;330;150431;150431;0;118;13;2;0;0
80;160027905000012;3.76;819.9;471.58;824.18;197;147;13;48;30;30;24;42;32;351985;740;617;27;124;740;392;348;265348;265348;0;129;22;12;1;2
81;160027905000013;3.73;1005.11;558.58;904.98;219;175;5;55;33;33;36;45;33;361376;812;720;11;133;812;429;383;349029;348229;800;147;21;21;0;4
82;160027905000014;3.77;1705.27;828.47;1486.06;276;200;61;97;42;42;50;45;56;30191112;1037;884;125;234;1037;546;491;712800;710800;2000;127;41;69;8;9
83;160027905000015;3.82;1288.15;650.86;1065.16;285;230;19;72;22;22;52;69;51;392796;1085;934;53;218;1085;534;551;565600;546190;19410;179;23;54;5;6
84;160027905000016;4.05;645.87;423.28;810.04;352;294;27;80;43;43;45;67;59;58332210;1421;1266;70;258;1421;716;705;457605;457355;250;219;22;23;4;1
85;160027905000017;4.63;742.23;365.68;624.78;199;184;1;20;14;14;17;29;45;36231310;921;878;1;63;921;467;454;248663;248663;0;147;21;15;1;0
