;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
140;270030005000098;4.39;1625.72;838.34;1283.49;311;294;0;34;2;2;44;72;66;49201713;1311;1292;0;144;1311;644;667;923719;923209;510;161;41;58;3;7
141;270030005000099;3.67;1930.88;994.05;1590.81;312;293;9;50;24;24;46;77;75;5013104;1122;1073;35;176;1122;517;605;970296;968096;2200;156;24;76;17;11
142;270030005000100;3.57;1311.51;760.92;1171.61;269;269;0;58;15;15;57;74;55;381981;959;959;0;193;959;428;531;632133;632133;0;143;27;55;2;5
143;270030005000101;3.54;1537.52;779.8;1250.0;381;341;4;83;27;27;62;104;96;572353;1350;1250;7;266;1350;639;711;921478;919978;1500;204;46;104;2;7
144;270030005000102;3.91;1535.77;807.28;1201.51;369;366;3;44;15;15;55;80;107;6424126;1444;1435;9;166;1444;695;749;1024678;1024678;0;201;31;113;6;5
145;270030005000103;3.78;755.33;423.82;694.71;258;256;0;35;22;22;39;61;62;3124142;975;970;0;115;975;464;511;336856;336856;0;207;12;24;1;0
146;270030005000104;3.67;676.74;364.65;620.51;446;442;0;90;24;24;71;125;105;743492;1635;1621;0;312;1635;790;845;490825;490825;0;359;30;27;2;0
147;270030005000105;4.13;1848.41;824.26;1296.35;354;349;1;27;7;7;61;80;86;5328158;1452;1438;6;88;1452;683;769;973600;973268;332;232;28;46;1;11
148;270030005000106;3.65;913.86;476.52;849.49;221;221;0;39;9;9;33;71;59;30952;807;807;0;140;807;398;409;323992;323992;0;142;20;32;1;0
149;270030005000107;3.72;371.15;278.03;471.92;220;214;0;33;11;11;47;46;54;381181;819;797;0;131;819;395;424;178060;178060;0;164;5;5;0;0
150;270030005000108;3.7;815.61;444.3;742.72;361;360;0;59;12;12;68;104;78;6413135;1337;1333;0;199;1337;630;707;496510;494350;2160;268;20;42;2;0
151;270030005000109;3.75;620.9;348.81;605.96;331;327;0;46;18;18;60;75;84;541946;1238;1225;0;156;1238;565;673;354740;353262;1478;272;13;14;0;1
152;270030005000110;3.51;725.66;465.28;846.18;236;225;5;48;17;17;53;55;52;3710101;828;791;15;167;828;390;438;326624;326624;0;152;12;15;0;2
153;270030005000111;3.43;927.37;514.09;795.81;184;183;0;31;19;19;37;53;31;26762;631;627;0;105;631;285;346;257047;256425;622;123;26;25;0;0
