;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
106;120020305000018;3.68;1396.68;770.85;1233.01;229;217;9;20;17;17;39;58;57;54;843;818;17;52;843;403;440;551156;551156;0;140;23;44;1;7
107;120020305000019;3.99;614.21;352.93;744.92;168;168;0;13;8;8;27;39;39;52;670;670;0;43;670;326;344;181460;181460;0;117;9;10;0;0
108;120020305000020;3.99;1336.58;714.66;1308.25;363;363;0;43;19;19;62;86;83;102;1448;1448;0;153;1448;709;739;791985;791985;0;216;27;55;3;2
109;120020305000021;3.76;1284.94;752.42;1145.93;314;311;2;30;20;20;60;87;53;86;1179;1172;6;75;1179;537;642;745999;745499;500;177;32;75;5;1
110;120020305000022;3.83;1016.88;563.81;957.48;253;252;1;19;13;13;41;62;59;77;969;966;3;76;969;462;507;434698;434698;0;176;27;34;1;2
111;120020305000023;3.88;967.89;550.66;1004.15;286;282;4;24;23;23;27;76;74;83;1111;1102;9;86;1111;538;573;477976;477976;0;176;19;51;3;0
112;120020305000024;3.77;1218.58;646.31;1064.87;405;362;39;71;25;25;70;93;100;111;1522;1420;87;203;1522;724;798;782180;781180;1000;244;37;90;2;3
113;120020305000025;3.9;1052.87;529.27;891.33;203;202;0;41;15;15;32;43;51;58;791;789;0;152;791;388;403;340679;340679;0;132;17;35;1;2
114;120020305000026;4.23;1220.48;646.82;1094.0;121;120;0;7;2;2;12;36;25;45;512;508;0;21;512;260;252;265333;264533;800;75;15;21;0;1
115;120020305000027;4.51;777.65;353.86;716.93;397;385;11;47;20;20;45;76;76;160;1792;1753;33;171;1792;902;890;496118;496118;0;280;25;27;1;2
116;120020305000028;4.55;318.44;215.73;511.53;271;271;0;3;14;14;23;54;64;101;1232;1232;0;13;1232;603;629;197454;197454;0;188;3;2;0;0
117;120020305000029;4.31;546.08;258.73;514.12;240;240;0;2;12;12;29;50;42;100;1035;1035;0;7;1035;518;517;199479;199479;0;214;2;3;1;0
118;120020305000030;3.94;924.38;492.31;878.7;331;331;0;13;22;22;45;72;81;106;1305;1305;0;53;1305;618;687;509617;509617;0;216;33;40;5;2
119;120020305000031;4.1;1289.05;723.0;1169.16;126;120;6;22;10;10;13;29;28;43;516;500;16;65;516;239;277;314205;314205;0;75;16;23;0;2
120;120020305000032;3.96;788.18;425.42;665.74;193;187;5;19;12;12;28;48;43;55;763;754;6;57;763;381;382;259735;258845;890;147;10;21;1;0
121;120020305000033;4.15;1093.98;601.76;1125.39;170;169;0;13;14;14;13;37;42;59;706;704;0;47;706;355;351;319977;319977;0;108;12;29;2;2
122;120020305000034;4.0;1131.02;556.86;1121.18;305;290;0;14;22;22;35;62;72;95;1176;1161;0;47;1176;581;595;502290;502290;0;185;13;43;1;8
123;120020305000035;3.92;1300.58;656.01;1100.31;415;397;4;33;21;21;71;90;92;117;1591;1557;13;99;1591;781;810;825795;825595;200;257;39;73;7;6
124;120020305000036;4.78;460.76;249.47;570.02;330;330;0;13;8;8;38;56;61;147;1578;1578;0;49;1578;809;769;294128;294128;0;216;13;13;1;0
125;120020305000037;4.33;520.62;310.68;591.84;268;268;0;13;21;21;25;63;52;94;1161;1161;0;67;1161;596;565;273721;273721;0;194;11;12;0;0
126;120020305000038;4.52;329.01;248.09;469.01;237;237;0;2;9;9;24;51;50;93;1071;1071;0;4;1071;549;522;201205;201205;0;177;6;5;0;0
127;120020305000039;3.89;351.21;222.26;748.96;318;318;0;0;26;26;46;73;62;106;1236;1236;0;0;1236;634;602;211855;211855;0;128;3;14;0;0
128;120020305000040;4.14;395.32;478.04;1010.02;179;179;0;3;16;16;23;40;32;64;741;741;0;6;741;397;344;259576;259576;0;83;6;11;1;0
129;120020305000041;3.62;546.49;331.74;609.78;179;179;0;2;19;19;31;39;39;49;648;648;0;7;648;316;332;169518;169518;0;134;7;6;1;0
130;120020305000042;4.46;409.26;219.12;474.77;54;54;0;2;3;3;5;9;13;21;241;241;0;8;241;110;131;37032;37032;0;38;4;1;0;0
131;120020305000043;4.38;591.73;276.37;497.84;245;243;0;1;21;21;30;39;45;99;1071;1065;0;7;1071;552;519;215055;214755;300;204;3;13;2;0
132;120020305000044;4.7;486.17;221.51;440.06;350;346;0;5;21;21;37;63;58;141;1639;1631;0;28;1639;842;797;263154;262694;460;304;7;6;0;1
133;120020305000045;4.76;176.23;183.04;508.44;151;151;0;1;5;5;16;22;37;61;719;719;0;5;719;359;360;91520;91520;0;50;2;0;1;0
134;120020305000046;4.04;477.02;281.94;690.58;142;141;1;3;6;6;21;34;35;41;573;569;4;8;573;279;294;122924;122924;0;79;5;6;0;0
135;120020305000047;5.0;186.32;99.98;444.79;315;312;0;1;26;26;31;44;45;133;1573;1565;0;1;1573;868;705;104081;103381;700;106;5;6;0;0
136;120020305000048;4.88;542.01;222.13;526.85;186;182;0;0;8;8;25;25;25;81;892;888;0;0;892;444;448;145368;145368;0;151;11;3;1;0
137;120020305000049;4.26;499.85;247.06;773.06;35;34;0;0;5;5;6;4;5;10;147;145;0;0;147;91;56;23965;22965;1000;16;2;2;0;0
138;120020305000050;5.17;86.84;63.43;351.38;107;107;0;0;2;2;10;22;13;49;553;553;0;0;553;293;260;22137;22137;0;18;0;0;0;0
139;120020305000051;5.43;312.15;160.82;481.33;121;121;0;0;6;6;10;20;14;53;657;657;0;0;657;362;295;68830;68830;0;65;3;2;0;0
140;120020305000052;4.73;365.45;133.85;435.0;11;11;0;0;2;2;1;1;1;5;52;52;0;0;52;30;22;5220;5220;0;10;0;0;0;0
141;120020305000053;4.78;375.69;150.68;423.1;185;184;0;2;16;16;20;30;26;76;885;883;0;6;885;489;396;96690;96690;0;159;3;0;1;0
142;120020305000054;5.39;333.71;209.09;352.84;62;62;0;0;1;1;3;8;10;38;334;334;0;0;334;184;150;45164;45164;0;49;0;1;0;0
143;120020305000055;5.69;232.38;124.94;531.0;31;29;0;0;1;1;4;1;4;14;173;165;0;0;173;90;83;12744;12744;0;12;1;0;0;0
144;120020305000056;4.8;298.36;139.81;328.1;124;123;0;0;7;7;18;17;19;52;594;591;0;0;594;317;277;56661;56161;500;86;2;2;0;0
145;120020305000057;4.37;227.91;127.43;640.23;126;123;0;5;4;4;17;26;27;42;544;538;0;15;544;299;245;53139;53139;0;37;3;1;0;0
146;120020305000058;3.0;334.12;221.56;664.67;17;17;0;0;4;4;3;5;2;3;51;51;0;0;51;27;24;9970;9970;0;7;1;0;0;0
147;120020305000059;4.61;360.46;215.34;404.29;261;261;0;1;12;12;24;50;54;111;1204;1204;0;3;1204;624;580;187995;187995;0;219;1;1;0;0
148;120020305000060;7.8;80.0;41.67;333.33;5;5;0;0;0;0;0;0;2;1;39;39;0;0;39;19;20;1000;1000;0;1;0;0;0;0
149;120020305000061;5.62;324.52;179.76;433.54;109;109;0;0;5;5;10;16;9;51;613;613;0;0;613;315;298;58961;58961;0;64;2;1;0;0
150;120020305000062;4.68;196.93;97.07;334.69;104;103;0;1;7;7;14;18;16;38;487;480;0;4;487;262;225;32130;32130;0;60;0;0;0;0
151;120020305000063;4.04;746.13;391.15;700.13;140;131;8;12;9;9;25;23;28;52;565;545;16;29;565;287;278;164591;164591;0;112;7;8;0;2
152;120020305000064;3.77;2916.91;1349.89;2245.06;256;232;8;40;19;19;49;71;45;63;966;902;17;110;966;478;488;1059466;1059466;0;129;21;67;8;20
153;120020305000065;4.59;595.59;310.46;574.96;161;161;0;0;5;5;11;35;35;70;739;739;0;0;739;361;378;174589;174589;0;133;8;6;0;0
154;120020305000066;3.83;1754.88;868.49;1400.95;364;311;2;26;18;18;72;88;71;102;1373;1213;3;80;1373;665;708;932571;932571;0;175;31;124;3;6
155;120020305000067;4.11;1001.48;520.67;907.42;343;328;5;37;17;17;49;76;81;108;1405;1359;17;143;1405;689;716;567896;566696;1200;227;30;50;4;1
156;120020305000068;4.49;657.97;321.18;577.91;485;479;2;29;34;34;58;86;90;190;2174;2155;5;97;2174;1056;1118;512608;511008;1600;403;25;24;0;2
157;120020305000069;3.99;764.46;377.75;740.06;495;288;0;9;29;29;37;56;70;87;1356;1149;0;38;1356;783;573;390032;390032;0;198;15;26;0;2
