;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
2725;510517605000015;3.81;621.12;255.38;696.72;270;270;0;0;14;14;50;65;62;3820116;1028;1028;0;0;1028;548;480;215286;215286;0;190;9;17;0;1
2726;510520005000001;3.04;897.65;557.29;855.79;253;252;0;57;38;38;59;61;60;22840;766;765;0;182;766;375;391;370760;370492;268;156;37;27;0;2
2727;510520005000002;2.94;908.5;627.55;946.83;300;296;0;72;47;47;80;75;58;26343;877;872;0;202;877;425;452;478303;478303;0;182;27;34;2;2
2728;510520005000003;3.0;827.17;622.41;881.01;193;193;0;48;30;30;46;52;37;20610;579;579;0;136;579;281;298;307473;307473;0;131;14;25;0;0
2729;510520005000004;3.02;1360.73;874.35;1275.39;133;132;1;33;18;18;32;42;23;10602;402;401;1;96;402;187;215;308645;308645;0;79;14;28;3;2
2730;510520005000005;3.05;701.75;449.2;847.15;225;224;0;47;29;29;56;60;54;17422;686;685;0;144;686;342;344;252452;252452;0;97;27;28;0;0
2731;510520005000006;3.22;679.06;388.71;690.71;178;178;0;33;16;16;41;47;45;21710;573;573;0;105;573;280;293;179585;179585;0;130;9;14;0;0
2732;510520005000007;3.59;1431.44;834.98;1234.49;108;108;0;14;9;9;19;20;36;12831;388;388;0;41;388;201;187;258009;258009;0;69;12;18;1;2
2733;510520005000008;3.5;531.75;319.49;622.9;218;208;0;27;16;16;46;50;49;231464;737;727;0;87;737;396;341;198083;198083;0;116;24;5;0;0
2734;510520005000009;3.0;984.89;566.1;913.95;63;45;0;3;6;6;14;9;10;3210;154;135;0;10;154;94;60;72558;72048;510;26;5;5;0;1
2735;510520005000010;3.19;708.33;473.0;662.2;36;36;0;4;6;6;11;7;4;4103;115;115;0;10;115;59;56;46354;46354;0;30;1;2;0;0
2736;510520005000011;2.88;1291.98;713.26;989.05;41;41;0;1;10;10;9;8;8;4020;118;118;0;1;118;63;55;74179;74179;0;25;3;12;0;0
2737;510520005000012;2.74;685.61;527.91;786.24;150;150;0;11;30;30;39;41;26;10301;411;411;0;28;411;220;191;184767;184767;0;128;3;8;0;0
2738;510520005000013;2.26;2246.45;1206.44;1821.04;38;38;0;1;13;13;11;7;5;2000;86;86;0;4;86;54;32;96005;96005;0;24;4;4;0;2
2739;510520005000014;3.29;779.36;577.65;838.61;108;106;0;31;13;13;25;23;25;14601;355;349;0;111;355;181;174;165207;165207;0;77;11;5;0;1
2740;510520005000015;2.98;1106.8;672.04;949.82;253;250;1;38;29;29;67;77;56;15521;754;743;1;131;754;380;374;427418;427418;0;151;44;37;2;1
2741;510520010000001;2.97;689.14;419.49;735.32;117;117;0;3;19;19;37;22;22;10320;347;347;0;9;347;179;168;127945;127945;0;88;6;10;0;0
2742;510520010000002;3.06;1172.89;638.42;1012.27;66;66;0;2;9;9;17;15;15;8101;202;202;0;6;202;104;98;111342;111342;0;51;5;5;1;1
2743;510520010000003;2.64;814.64;461.62;738.02;111;111;0;0;23;23;39;19;15;15000;293;293;0;0;293;175;118;119560;119560;0;82;11;6;1;1
2744;510520010000004;2.81;803.19;431.03;648.19;159;158;0;0;35;35;42;31;33;10440;446;445;0;0;446;245;201;169257;169257;0;128;13;10;0;1
2745;510520015000001;3.03;680.27;374.39;688.15;181;180;0;22;35;35;39;41;37;21322;548;544;0;53;548;286;262;169972;169972;0;151;9;8;0;0
2746;510520015000002;3.1;902.97;560.76;933.1;239;237;1;44;31;31;58;61;52;25822;741;738;2;132;741;381;360;349913;349913;0;156;26;31;1;0
2747;510520015000003;2.74;1034.53;660.24;944.22;58;58;0;1;13;13;15;13;9;7100;159;159;0;3;159;86;73;87812;87812;0;41;8;8;0;0
2748;510520015000004;3.12;1835.5;928.68;1589.36;101;101;0;0;18;18;24;18;17;19401;315;315;0;0;315;174;141;236814;236814;0;66;7;12;1;1
2749;510520020000001;3.09;781.13;613.04;903.21;231;225;0;41;23;23;77;47;42;191123;748;696;0;127;748;438;310;354396;354396;0;137;21;27;0;1
2750;510520020000002;2.71;715.79;497.05;890.94;38;38;0;0;5;5;15;7;9;1100;103;103;0;0;103;54;49;47220;47220;0;30;1;2;0;0
2751;510520020000003;2.8;522.39;317.49;639.21;122;122;0;0;32;32;29;23;16;17140;342;342;0;0;342;197;145;95881;95881;0;82;2;2;0;1
